Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
2022,1.0,2,128.0,1.1410000000014406,21.0,22.0,41.5,1
2022,1.0,3,273.0,0.5879999999997381,0.0,23.0,24.0,0
2022,1.0,6,353.0,1.5270000000018626,1.0,30.0,40.0,1
2022,42.0,2,28.0,4.204000000000178,0.0,24.5,24.5,0
2022,42.0,8,72.0,0.4920000000001892,0.0,33.0,33.0,1
2022,42.0,8,102.0,1.3870000000006257,0.0,26.5,27.0,0
2022,32.0,3,28.0,4.123000000000047,0.0,24.5,24.5,1
2022,32.0,10,59.0,1.5670000000009168,0.0,17.0,27.0,0
2022,32.0,5,102.0,1.7080000000005384,0.0,27.0,34.0,1
2022,32.0,6,128.0,1.9470000000001164,0.0,22.0,22.0,1
2022,32.0,2,163.0,3.184000000001106,0.0,31.0,31.0,0
2022,12.0,7,22.0,1.8589999999999236,6.0,21.0,24.5,1
2022,12.0,2,59.0,4.677999999999884,0.0,27.0,27.0,0
2022,12.0,4,102.0,2.430000000000291,0.0,34.0,34.0,1
2022,12.0,7,128.0,2.513999999999214,0.0,22.0,22.0,0
2022,57.0,4,28.0,2.3330000000000837,0.0,24.5,24.5,1
2022,57.0,4,59.0,1.431999999999789,0.0,27.0,27.0,0
2022,57.0,5,128.0,0.8250000000007276,0.0,22.0,22.0,0
2022,57.0,3,163.0,0.5339999999996508,0.0,31.0,31.0,0
2022,57.0,5,189.0,0.4800000000032014,17.0,24.0,41.0,0
2022,57.0,5,273.0,2.6039999999993597,0.0,29.5,29.5,1
2022,27.0,5,28.0,0.7390000000000327,0.0,24.5,24.5,0
2022,27.0,8,59.0,2.0799999999999272,0.0,27.0,27.0,1
2022,27.0,10,102.0,1.440999999998894,0.0,26.5,27.0,0
2022,27.0,10,128.0,4.185999999999694,0.0,21.5,21.5,1
2022,27.0,6,163.0,1.4390000000003056,0.0,31.0,31.0,1
2022,16.0,6,28.0,2.013999999999669,0.0,24.5,24.5,0
2022,16.0,11,59.0,5.97899999999936,0.0,27.0,27.0,1
2022,16.0,9,102.0,0.6239999999997963,0.0,27.0,26.5,1
2022,16.0,9,128.0,3.5310000000008586,0.0,21.5,21.5,1
2022,16.0,4,163.0,6.689000000000306,0.0,31.0,31.0,0
2022,16.0,7,274.0,0.91899999999805,1.0,24.0,26.0,1
2022,21.0,10,28.0,1.3470000000002074,0.0,24.5,24.5,0
2022,21.0,7,59.0,2.8729999999995925,0.0,27.0,27.0,0
2022,21.0,7,102.0,4.893000000000029,0.0,27.0,26.5,0
2022,21.0,8,163.0,2.790999999999258,0.0,10.5,3.5,0
2022,21.0,8,274.0,0.9809999999997672,0.0,22.0,35.0,1
2022,47.0,8,28.0,2.9270000000001346,0.0,24.5,24.5,0
2022,47.0,13,59.0,0.5780000000004293,0.0,27.0,27.0,0
2022,96.0,7,28.0,0.9380000000001019,0.0,24.5,24.5,1
2022,96.0,3,59.0,2.6419999999998254,0.0,27.0,27.0,1
2022,96.0,3,102.0,5.091999999998734,0.0,34.0,34.0,0
2022,96.0,4,128.0,0.4709999999995489,0.0,22.0,22.0,0
2022,96.0,5,156.0,6.7260000000005675,7.0,26.0,31.0,1
2022,96.0,2,273.0,9.971000000001368,0.0,24.0,28.0,0
2022,70.0,11,28.0,1.7609999999999673,0.0,24.5,24.5,1
2022,70.0,6,59.0,1.9089999999996508,0.0,27.0,27.0,1
2022,70.0,5,93.0,0.945000000001528,9.0,27.5,34.0,0
2022,66.0,9,28.0,0.40099999999983993,0.0,24.5,24.5,1
2022,66.0,5,59.0,0.5160000000005311,0.0,27.0,27.0,0
2022,66.0,6,102.0,0.8230000000003201,0.0,27.0,27.0,0
2022,66.0,5,163.0,0.3739999999997963,0.0,31.0,31.0,1
2022,66.0,4,273.0,7.348999999998341,0.0,20.5,23.0,0
2022,44.0,12,28.0,1.018999999999778,0.0,24.5,24.5,1
2022,44.0,9,59.0,1.5709999999999127,0.0,27.0,17.0,0
2022,99.0,13,28.0,0.7850000000003092,0.0,24.5,2.5,0
2022,99.0,12,59.0,1.0799999999999272,0.0,27.0,27.0,1
2023,27.0,4,68.0,5.7549999999992,4.0,15.5,17.5,1
2023,27.0,10,226.0,4.623999999999796,0.0,27.5,27.5,1
2023,27.0,7,329.0,2.2160000000003492,0.0,21.5,28.5,0
2023,83.0,7,72.0,1.0859999999993306,0.0,17.5,17.5,1
2023,12.0,5,72.0,1.9369999999998981,0.0,17.5,17.5,1
2023,12.0,5,184.0,3.275999999998021,11.0,23.5,32.0,0
2023,97.0,4,15.0,1.1459999999999582,35.0,10.0,42.0,0
2023,97.0,3,72.0,1.8729999999995925,0.0,17.5,17.5,0
2023,97.0,8,166.0,0.3719999999993888,29.0,9.5,32.0,0
2023,97.0,11,195.0,1.5339999999996508,0.0,25.0,32.0,0
2023,97.0,7,226.0,0.8410000000003492,0.0,27.5,27.5,1
2023,97.0,3,329.0,1.2669999999998254,0.0,21.5,21.5,1
2023,57.0,5,15.0,2.8330000000000837,0.0,10.0,10.0,1
2023,57.0,2,226.0,1.8620000000009895,0.0,27.5,27.5,1
2023,57.0,2,284.0,1.151000000001659,27.0,17.5,41.0,1
2023,66.0,7,15.0,2.2480000000000473,0.0,10.0,10.0,0
2023,66.0,13,49.0,8.081999999999425,3.0,28.0,32.0,0
2023,66.0,9,226.0,1.224000000001979,0.0,27.5,27.5,1
2023,66.0,7,284.0,6.201000000000931,0.0,17.5,17.5,1
2023,66.0,8,303.0,0.6630000000004657,5.0,17.0,22.0,0
2023,1.0,8,15.0,0.44699999999988904,0.0,10.0,10.0,1
2023,32.0,2,72.0,6.932999999999993,0.0,17.5,18.0,0
2023,32.0,3,226.0,5.485999999997148,0.0,27.5,27.5,1
2023,32.0,10,329.0,2.805000000000291,0.0,15.0,41.5,1
2023,47.0,13,72.0,2.5950000000002547,0.0,16.5,16.5,1
2023,16.0,10,15.0,2.3680000000001655,0.0,10.0,10.0,1
2023,16.0,12,72.0,1.3179999999993015,4.0,16.5,3.5,1
2023,16.0,3,284.0,7.360999999997148,0.0,11.5,17.5,1
2023,16.0,2,310.0,1.6130000000011933,1.0,24.0,41.0,1
2023,16.0,4,329.0,2.1239999999997963,0.0,16.5,24.5,1
2023,96.0,13,15.0,0.7010000000000218,0.0,10.0,10.0,1
2023,96.0,6,72.0,0.6290000000008149,0.0,17.5,17.5,0
2023,96.0,8,226.0,5.0349999999998545,0.0,27.5,27.5,1
