Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
2022,96.0,5,82.0,2.9789999999993597,0.0,23.5,24.5,0
2022,96.0,4,99.0,1.6539999999986321,0.0,13.5,13.0,1
2022,96.0,4,149.0,3.9500000000007276,0.0,20.0,21.0,1
2022,96.0,3,163.0,2.4570000000021537,0.0,11.0,11.0,0
2022,96.0,7,187.0,1.8179999999993015,0.0,19.5,19.5,1
2022,96.0,4,213.0,4.401999999998225,4.0,24.5,28.5,1
2022,16.0,13,133.0,5.005000000001019,0.0,16.0,16.0,1
2022,16.0,12,167.0,0.694999999999709,6.0,16.5,20.0,1
2022,16.0,11,228.0,8.557999999997264,2.0,26.0,27.0,0
2022,16.0,11,255.0,1.227999999995518,3.0,26.0,27.0,1
2022,1.0,2,78.0,0.7430000000003929,4.0,19.0,26.0,0
2022,47.0,3,26.0,6.2150000000001455,1.0,25.0,26.0,0
2022,47.0,4,82.0,1.7309999999997672,0.0,23.5,23.5,0
2022,47.0,9,99.0,0.9870000000009895,0.0,13.5,13.0,0
2022,47.0,6,131.0,7.755000000001019,18.0,12.0,20.0,0
2022,28.0,5,26.0,1.425000000000182,2.0,25.0,27.0,1
2022,28.0,2,53.0,7.275000000000546,5.0,26.0,29.0,1
2022,28.0,4,163.0,3.5159999999996217,0.0,11.0,11.0,1
2022,28.0,3,242.0,4.334000000002561,3.0,26.0,28.0,1
2022,28.0,2,266.0,2.8920000000071013,2.0,23.0,21.0,0
2022,21.0,3,99.0,3.610000000000582,0.0,13.5,13.0,1
2022,21.0,6,163.0,2.1970000000001164,0.0,11.0,11.0,0
2022,21.0,6,187.0,2.103000000002794,0.0,19.5,19.5,0
2022,66.0,3,82.0,7.268000000000029,0.0,24.5,10.5,0
2022,66.0,10,95.0,1.3890000000010332,4.0,11.0,13.5,0
2022,66.0,13,148.0,1.6129999999975553,0.0,11.5,11.5,1
2022,66.0,11,279.0,3.5089999999981956,0.0,20.0,23.0,0
2022,12.0,9,13.0,1.0419999999999163,15.0,12.0,27.0,1
2022,12.0,7,99.0,2.496000000001004,0.0,13.0,13.5,0
2022,12.0,5,149.0,1.069999999999709,0.0,14.0,4.0,0
2022,12.0,7,163.0,2.9939999999987776,0.0,11.0,11.0,0
2022,12.0,5,187.0,0.9290000000000873,0.0,19.5,19.5,1
2022,12.0,5,267.0,9.974999999998545,0.0,20.0,20.0,1
2022,59.0,7,82.0,3.448999999998705,0.0,24.5,23.5,0
2022,59.0,5,99.0,4.478000000000975,0.0,13.5,13.0,1
2022,59.0,6,149.0,6.941999999999098,0.0,19.0,19.0,0
2022,59.0,8,163.0,2.563000000001921,0.0,11.0,11.0,1
2022,39.0,5,27.0,7.891000000000076,2.0,26.0,28.0,1
2022,39.0,10,42.0,5.393000000000029,15.0,14.0,28.0,0
2022,57.0,8,13.0,0.1169999999999618,12.0,12.0,24.0,1
2022,57.0,4,40.0,1.2530000000006112,15.0,26.0,28.0,1
2022,57.0,6,82.0,1.2200000000011642,0.0,10.5,23.5,1
2022,57.0,2,99.0,0.7970000000004802,15.0,13.5,25.5,1
2022,57.0,2,149.0,5.4870000000009895,0.0,19.0,18.0,0
2022,57.0,2,163.0,3.360000000000582,0.0,11.0,11.5,1
2022,44.0,10,83.0,5.611000000000786,0.0,20.5,24.0,1
2022,44.0,6,99.0,4.701999999999316,0.0,13.0,13.5,0
2022,44.0,6,125.0,7.098999999998341,1.0,22.0,23.0,0
2022,44.0,7,149.0,0.8330000000023574,0.0,21.0,20.0,0
2022,44.0,5,163.0,1.6419999999998254,0.0,11.0,11.0,1
2022,44.0,3,187.0,1.4749999999985448,0.0,19.5,19.5,1
2022,70.0,15,27.0,1.2899999999999636,14.0,20.0,27.0,1
