Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
2022,32.0,2,22.0,0.5489999999999782,4.0,19.0,21.5,1
2022,32.0,3,38.0,0.8900000000003274,24.0,10.0,30.5,1
2022,32.0,3,67.0,1.485000000000582,9.0,25.0,34.0,0
2022,96.0,2,62.0,7.790000000000873,1.0,30.5,31.5,0
2022,96.0,2,87.0,8.430999999998676,8.0,24.0,33.0,1
2022,96.0,7,109.0,0.8909999999996217,7.0,21.0,25.0,0
2022,12.0,3,22.0,1.2100000000000364,4.0,19.0,21.5,1
2022,1.0,4,19.0,2.0460000000002765,3.0,16.0,19.0,0
2022,1.0,4,38.0,6.546999999999571,0.0,12.5,10.0,1
2022,1.0,3,61.0,0.9869999999991705,1.0,19.0,30.5,1
2022,1.0,5,133.0,0.9530000000013388,0.0,9.5,9.5,1
2022,16.0,4,21.0,2.5579999999999927,1.0,18.0,19.0,0
2022,16.0,15,59.0,5.5569999999988795,0.0,17.0,17.0,1
2022,16.0,8,125.0,5.501000000000204,8.0,32.0,22.5,0
2022,57.0,5,38.0,0.7430000000003929,22.0,29.0,26.5,1
2022,47.0,2,26.0,1.2640000000001237,0.0,21.5,21.5,0
2022,47.0,6,108.0,0.3129999999982829,8.0,26.0,31.0,0
2022,39.0,4,58.0,0.4929999999994834,3.0,24.5,19.0,0
2022,39.0,5,113.0,3.2269999999989523,3.0,23.0,25.0,0
2022,59.0,7,22.0,1.0719999999996617,0.0,19.0,19.0,0
2022,59.0,8,38.0,2.4989999999997963,1.0,10.0,8.5,1
2022,59.0,10,61.0,7.2260000000005675,11.0,19.0,29.5,0
2022,59.0,12,86.0,5.647000000000844,22.0,24.0,26.0,0
2022,59.0,11,145.0,7.062000000001717,0.0,29.5,29.5,1
2022,21.0,4,26.0,1.3829999999998108,37.0,21.5,31.5,1
2022,27.0,12,19.0,0.8019999999996799,2.0,16.0,18.0,1
2022,27.0,6,38.0,3.475000000000364,20.0,12.5,24.5,1
2022,70.0,11,21.0,1.461999999999989,5.0,18.0,21.5,1
2022,70.0,7,38.0,1.77599999999984,0.0,10.5,12.5,0
2022,70.0,9,60.0,0.46599999999853026,15.0,18.0,32.5,1
2022,44.0,5,26.0,0.7590000000000146,12.0,21.5,10.0,0
2022,44.0,3,75.0,0.6699999999982538,9.0,33.0,23.0,1
2022,99.0,12,22.0,0.2719999999999345,0.0,19.0,19.0,1
2022,99.0,10,60.0,2.308000000000902,12.0,26.5,29.5,0
2022,42.0,13,22.0,9.797000000000025,4.0,19.0,2.0,0
2022,42.0,4,75.0,0.22800000000097498,20.0,32.5,33.0,1
2022,42.0,4,109.0,6.5239999999994325,7.0,13.0,31.0,1
2023,78.0,2,77.0,5.147000000000844,12.0,23.0,32.0,1
2023,78.0,11,112.0,0.8080000000009022,0.0,11.0,33.0,1
2023,12.0,2,16.0,6.636999999999944,0.0,13.5,13.5,1
2023,12.0,2,112.0,5.712999999999738,0.0,20.0,33.0,1
2023,83.0,3,16.0,1.0360000000000582,0.0,13.5,13.5,1
2023,1.0,4,16.0,0.72199999999998,0.0,13.5,13.5,1
2023,42.0,5,14.0,7.863000000000056,2.0,11.5,13.5,0
2023,70.0,17,34.0,5.786000000000058,10.0,10.5,15.5,1
2023,70.0,16,132.0,2.863999999999578,20.0,17.5,20.0,0
2023,32.0,4,20.0,2.0329999999999018,33.0,15.5,31.5,1
2023,32.0,6,112.0,5.354000000001179,0.0,16.0,18.0,1
2023,27.0,9,20.0,4.167000000000371,0.0,15.5,15.5,0
2023,27.0,3,112.0,2.129000000000815,0.0,20.0,20.0,0
2023,27.0,3,131.0,6.1159999999999854,17.0,17.0,34.0,1
