,Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
0,2022,59.0,13,112.0,1.058999999999287,19.0,9.5,28.0,0
1,2022,57.0,6,199.0,4.326000000000931,0.0,17.0,26.5,1
2,2022,57.0,2,487.0,0.6110000000044238,0.0,21.5,16.5,1
3,2022,57.0,3,517.0,4.268000000003667,0.0,27.0,27.0,0
4,2022,57.0,3,528.0,1.7740000000048894,20.0,10.0,30.0,0
5,2022,12.0,6,42.0,0.1129999999993742,18.0,10.0,27.5,0
6,2022,70.0,9,200.0,2.2769999999982247,28.0,27.0,29.5,1
7,2022,70.0,3,337.0,1.440999999998894,0.0,26.5,27.0,0
8,2022,70.0,2,517.0,2.922999999995227,2.0,27.0,28.5,1
9,2022,75.0,7,29.0,2.624000000000251,1.0,27.0,27.5,0
10,2022,32.0,3,199.0,0.7949999999982538,0.0,26.5,26.5,0
11,2022,32.0,2,248.0,0.5910000000003492,0.0,14.5,14.5,0
12,2022,32.0,2,274.0,4.927999999999884,0.0,19.5,19.5,1
13,2022,32.0,5,337.0,1.3629999999975553,0.0,27.0,27.0,1
14,2022,32.0,5,517.0,5.992999999994936,0.0,27.0,27.0,0
15,2022,39.0,8,27.0,2.103000000000065,3.0,26.0,27.5,0
16,2022,39.0,10,130.0,0.2960000000002765,29.0,18.0,28.0,0
17,2022,39.0,4,178.0,1.0889999999999418,21.0,14.5,26.5,0
18,2022,98.0,6,28.0,0.98299999999972,2.0,26.5,27.5,0
19,2022,44.0,7,337.0,5.8729999999995925,0.0,26.5,27.0,1
20,2022,44.0,5,487.0,5.568999999995867,0.0,18.5,13.5,0
21,2022,47.0,4,42.0,0.5379999999995562,17.0,10.0,27.0,0
22,2022,19.0,8,273.0,5.936999999998079,2.0,18.5,15.5,0
23,2022,19.0,8,397.0,0.5970000000015716,5.0,27.0,27.5,0
24,2022,16.0,12,122.0,0.8350000000009459,9.0,20.5,28.0,0
25,2022,16.0,5,169.0,1.1589999999996508,0.0,13.0,6.0,0
26,2022,16.0,4,248.0,1.6919999999990978,0.0,15.5,15.5,1
27,2022,16.0,4,305.0,0.5509999999994761,0.0,27.0,27.5,1
28,2022,16.0,2,337.0,3.3510000000023865,0.0,27.0,27.0,1
29,2022,16.0,3,487.0,2.227999999995518,0.0,13.5,21.5,1
30,2022,21.0,19,29.0,7.644999999999982,1.0,27.0,27.5,0
31,2022,21.0,2,160.0,0.8220000000001164,0.0,27.0,27.0,1
32,2022,21.0,4,199.0,5.530000000002474,0.0,26.5,26.5,0
33,2022,21.0,5,248.0,0.7649999999994179,0.0,14.5,14.5,1
34,2022,21.0,4,274.0,2.730999999999767,0.0,19.5,14.0,0
35,2022,21.0,5,462.0,7.364000000001397,25.0,27.0,21.5,0
36,2022,66.0,15,98.0,1.9920000000001887,14.0,18.5,9.5,1
37,2022,66.0,2,199.0,2.356999999999971,0.0,26.5,26.5,0
38,2022,66.0,7,229.0,7.936999999998079,0.0,27.0,27.0,0
39,2022,66.0,5,274.0,2.6129999999975557,0.0,19.5,19.5,0
40,2022,66.0,4,337.0,1.2839999999996508,0.0,27.0,26.5,0
41,2022,96.0,15,26.0,0.4529999999999745,4.0,25.0,27.5,0
42,2022,96.0,7,127.0,6.974999999998545,4.0,25.5,28.0,0
43,2022,96.0,5,199.0,2.705999999998312,0.0,26.5,26.5,1
44,2022,96.0,6,248.0,1.2330000000001746,0.0,15.5,15.5,1
45,2022,99.0,11,59.0,0.9399999999995998,2.0,27.0,29.0,0
46,2022,27.0,3,248.0,3.52900000000227,0.0,16.5,14.5,0
47,2022,27.0,6,274.0,2.36699999999837,0.0,19.5,19.5,0
48,2022,42.0,19,30.0,2.03899999999976,0.0,27.0,0.0,1
49,2022,42.0,19,54.0,0.0300000000006548,7.0,22.0,29.0,0
50,2022,42.0,8,275.0,2.526000000005297,0.0,20.0,20.0,1
51,2022,42.0,6,391.0,7.705000000001746,12.0,16.0,24.0,0
52,2022,42.0,5,436.0,2.871000000006461,29.0,11.0,26.5,0
53,2022,42.0,9,489.0,5.099999999998545,27.0,13.5,28.0,1
54,2023,75.0,3,70.0,4.606999999999971,25.0,9.5,29.0,1
55,2023,75.0,5,99.0,0.7960000000002765,0.0,25.5,25.5,0
56,2023,75.0,5,129.0,1.1919999999990978,1.0,28.0,29.0,1
57,2023,75.0,6,222.0,2.2619999999988067,9.0,21.0,30.0,0
58,2023,32.0,2,291.0,1.7669999999998254,0.0,20.0,20.0,0
59,2023,32.0,3,521.0,4.52100000000064,0.0,21.0,29.0,1
60,2023,93.0,3,291.0,0.4219999999986612,0.0,22.0,20.0,1
61,2023,93.0,7,368.0,4.098000000005413,0.0,11.0,11.0,0
62,2023,93.0,5,680.0,1.4569999999948775,0.0,19.0,19.5,0
63,2023,93.0,6,703.0,2.210000000006403,1.0,20.0,21.0,0
64,2023,70.0,3,23.0,0.80600000000004,5.0,21.0,26.0,1
65,2023,70.0,4,66.0,7.717999999999847,4.0,11.0,9.5,1
66,2023,70.0,3,99.0,3.622999999999593,0.0,27.5,25.5,0
67,2023,70.0,5,157.0,0.2639999999992142,3.0,26.0,28.0,0
68,2023,70.0,6,255.0,2.220000000001164,12.0,24.0,12.5,0
69,2023,70.0,2,287.0,2.161000000000058,4.0,17.5,20.0,1
70,2023,70.0,2,368.0,1.3499999999985448,21.0,16.0,30.5,1
71,2023,12.0,4,291.0,4.633999999998196,28.0,20.0,28.0,1
72,2023,12.0,4,680.0,4.968999999997322,0.0,19.5,20.5,0
73,2023,12.0,5,704.0,1.9869999999937136,0.0,21.0,21.0,0
74,2023,1.0,9,29.0,0.474999999999909,0.0,27.0,27.0,1
75,2023,1.0,8,99.0,1.114000000001397,0.0,25.5,25.5,1
76,2023,96.0,11,27.0,3.244000000000142,2.0,25.0,27.0,1
77,2023,96.0,11,70.0,2.0330000000003565,0.0,11.0,7.0,0
78,2023,47.0,10,25.0,6.635000000000218,4.0,22.5,27.0,0
79,2023,44.0,4,99.0,4.581000000000131,0.0,25.5,27.5,0
80,2023,44.0,7,291.0,7.73399999999674,0.0,27.0,20.0,0
81,2023,44.0,3,656.0,0.294000000008964,0.0,18.5,18.5,1
82,2023,44.0,3,680.0,1.3559999999997672,0.0,20.5,20.5,1
83,2023,44.0,4,704.0,3.156999999991968,0.0,21.0,21.0,1
84,2023,66.0,12,29.0,0.4940000000001419,0.0,27.0,27.0,1
85,2023,66.0,6,99.0,1.0120000000006255,0.0,25.5,25.5,1
86,2023,66.0,7,681.0,1.5720000000001164,0.0,20.5,16.5,0
87,2023,66.0,5,698.0,1.551999999996042,6.0,14.5,21.0,0
88,2023,78.0,10,70.0,1.5969999999997526,0.0,10.0,10.0,1
89,2023,78.0,7,99.0,2.0099999999983997,0.0,25.5,25.5,0
90,2023,78.0,9,129.0,7.606999999999971,0.0,28.0,28.0,1
91,2023,78.0,10,291.0,3.217000000004191,0.0,19.5,16.5,0
92,2023,78.0,9,629.0,3.767000000007101,0.0,13.0,4.5,0
93,2023,27.0,6,95.0,0.7530000000006112,4.0,23.0,25.5,1
