"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"28","GS","Trent Hindman","1","3:53.961","3:53.961","Green","Track","59.350","82.027","92.582"
"46","GS","Paul Holton","1","3:54.183","3:54.183","Green","Track","59.333","81.253","92.624"
"69","GS","Jesse Lazare","1","3:54.222","3:54.222","Green","Track","59.107","81.342","91.960"
"19","GS","Rory van der Steur","1","3:54.451","3:54.451","Green","Track","60.550","79.612","90.436"
"34","GS","Michai Stephens","1","3:54.462","3:54.462","Green","Track","60.666","79.955","91.243"
"21","GS","Jake Pedersen","1","3:54.539","3:54.539","Green","Track","60.525","79.476","89.893"
"44","GS","Moisey Uretsky","1","3:54.770","3:54.770","Green","Track","60.688","79.809","88.933"
"67","GS","Nikita Lastochkin","1","3:55.078","3:55.078","Green","Track","60.248","79.350","87.921"
"96","GS","Francis Selldorff","1","3:55.113","3:55.113","Green","Track","60.093","79.702","88.397"
"13","GS","Jenson Altzman","1","3:55.230","3:55.230","Green","Track","60.189","78.849","86.382"
"57","GS","Bryce Ward","1","3:55.451","3:55.451","Green","Track","60.463","79.007","87.401"
"95","GS","Dillon Machavern","1","3:55.753","3:55.753","Green","Track","62.180","76.665","85.020"
"91","GS","Michael McCarthy","1","3:55.759","3:55.759","Green","Track","60.401","78.674","86.317"
"59","GS","Bob Michaelian","1","3:56.049","3:56.049","Green","Track","62.591","75.802","83.732"
"09","GS","John Potter","1","3:56.155","3:56.155","Green","Track","62.466","76.323","84.491"
"82","GS","Brady Behrman","1","3:56.205","3:56.205","Green","Track","62.393","74.714","82.878"
"88","GS","Todd Coleman","1","3:56.387","3:56.387","Green","Track","61.919","75.702","83.501"
"38","GS","Thomas Collingwood","1","3:56.637","3:56.637","Green","Track","61.339","74.511","81.455"
"92","GS","Paul Sparta","1","3:56.652","3:56.652","Green","Track","62.514","74.426","82.496"
"71","GS","Frank DePew","1","3:56.947","3:56.947","Green","Track","61.141","73.840","79.366"
"43","GS","Sean Quinlan","1","3:56.974","3:56.974","Green","Track","62.488","72.474","78.064"
"16","GS","Ken Fukuda","1","3:56.993","3:56.993","Green","Track","60.657","73.379","81.411"
"64","GS","Ted Giovanis","1","3:57.282","3:57.282","Green","Track","62.881","71.722","77.766"
"9","GS","Brandon Kidd","1","3:57.506","3:57.506","Green","Track","63.337","70.559","76.800"
"39","GS","Sean McAlister","1","3:57.485","3:57.485","Green","Track","63.191","71.212","77.360"
"6","TCR","LP Montour","1","4:15.235","4:15.235","Green","Track","63.249","76.943","82.077"
"93","TCR","DAI Yoshihara","1","4:15.395","4:15.395","Green","Track","63.989","75.979","81.629"
"98","TCR","Mason Filippi","1","4:15.537","4:15.537","Green","Track","64.976","74.636","81.325"
"17","TCR","Chris Miller","1","4:15.582","4:15.582","Green","Track","65.172","74.064","80.619"
"77","TCR","Taylor Hagler","1","4:15.841","4:15.841","Green","Track","66.341","72.503","79.930"
"80","TCR","Chase Jones","1","4:15.907","4:15.907","Green","Track","66.976","71.427","79.513"
"99","TCR","Clayton Williams","1","4:16.074","4:16.074","Green","Track","67.604","71.053","78.588"
"55","TCR","Eddie Gou","1","4:16.105","4:16.105","Green","Track","67.478","70.606","77.964"
"61","TCR","Gavin Ernstone","1","4:16.207","4:16.207","Green","Track","67.798","69.304","77.270"
"33","TCR","Harry Gottsacker","1","4:16.504","4:16.504","Green","Track","69.045","67.489","76.614"
"76","TCR","Preston Brown","1","4:16.494","4:16.494","Green","Track","67.728","69.906","77.901"
"73","TCR","Daniel Wu","1","4:16.734","4:16.734","Green","Track","68.095","68.625","77.397"
"28","GS","Trent Hindman","2","1:58.584","5:52.545","Green","Track","28.455","44.396","45.733"
"46","GS","Paul Holton","2","1:59.447","5:53.630","Green","Track","28.396","45.095","45.956"
"19","GS","Rory van der Steur","2","2:00.407","5:54.858","Green","Track","28.861","45.535","46.011"
"69","GS","Jesse Lazare","2","2:01.284","5:55.506","Green","Track","28.770","45.792","46.722"
"34","GS","Michai Stephens","2","2:01.237","5:55.699","Green","Track","28.934","45.813","46.490"
"21","GS","Jake Pedersen","2","2:01.537","5:56.076","Green","Track","29.004","45.950","46.583"
"44","GS","Moisey Uretsky","2","2:01.672","5:56.442","Green","Track","29.026","46.002","46.644"
"67","GS","Nikita Lastochkin","2","2:01.869","5:56.947","Green","Track","28.930","46.288","46.651"
"96","GS","Francis Selldorff","2","2:02.036","5:57.149","Green","Track","29.390","46.095","46.551"
"13","GS","Jenson Altzman","2","2:02.329","5:57.559","Green","Track","29.365","46.311","46.653"
"95","GS","Dillon Machavern","2","2:02.146","5:57.899","Green","Track","29.094","46.322","46.730"
"57","GS","Bryce Ward","2","2:03.176","5:58.627","Green","Track","29.989","46.213","46.974"
"91","GS","Michael McCarthy","2","2:03.289","5:59.048","Green","Track","29.713","46.449","47.127"
"09","GS","John Potter","2","2:03.094","5:59.249","Green","Track","29.406","46.620","47.068"
"88","GS","Todd Coleman","2","2:03.090","5:59.477","Green","Track","29.698","46.323","47.069"
"59","GS","Bob Michaelian","2","2:03.895","5:59.944","Green","Track","30.289","46.564","47.042"
"92","GS","Paul Sparta","2","2:03.844","6:00.496","Green","Track","30.002","46.905","46.937"
"39","GS","Sean McAlister","2","2:04.292","6:01.777","Green","Track","30.177","47.649","46.466"
"38","GS","Thomas Collingwood","2","2:05.169","6:01.806","Green","Track","30.923","46.940","47.306"
"9","GS","Brandon Kidd","2","2:04.969","6:02.475","Green","Track","30.851","47.678","46.440"
"43","GS","Sean Quinlan","2","2:07.479","6:04.453","Green","Track","31.197","48.665","47.617"
"71","GS","Frank DePew","2","2:08.203","6:05.150","Green","Track","31.816","48.347","48.040"
"16","GS","Ken Fukuda","2","2:08.825","6:05.818","Green","Track","31.944","48.556","48.325"
"82","GS","Brady Behrman","2","2:10.834","6:07.039","Green","Track","31.198","49.214","50.422"
"64","GS","Ted Giovanis","2","2:10.164","6:07.446","Green","Track","31.917","48.657","49.590"
"93","TCR","DAI Yoshihara","2","2:02.123","6:17.518","Green","Track","29.601","45.198","47.324"
"17","TCR","Chris Miller","2","2:02.473","6:18.055","Green","Track","30.155","45.630","46.688"
"98","TCR","Mason Filippi","2","2:03.020","6:18.557","Green","Track","30.489","45.953","46.578"
"80","TCR","Chase Jones","2","2:03.024","6:18.931","Green","Track","30.440","45.904","46.680"
"33","TCR","Harry Gottsacker","2","2:02.789","6:19.293","Green","Track","30.144","46.025","46.620"
"77","TCR","Taylor Hagler","2","2:04.212","6:20.053","Green","Track","30.538","46.707","46.967"
"99","TCR","Clayton Williams","2","2:04.367","6:20.441","Green","Track","30.457","46.966","46.944"
"55","TCR","Eddie Gou","2","2:05.140","6:21.245","Green","Track","30.895","47.191","47.054"
"76","TCR","Preston Brown","2","2:05.000","6:21.494","Green","Track","30.720","47.267","47.013"
"61","TCR","Gavin Ernstone","2","2:06.657","6:22.864","Green","Track","32.035","47.509","47.113"
"73","TCR","Daniel Wu","2","2:06.699","6:23.433","Green","Track","32.255","47.153","47.291"
"6","TCR","LP Montour","2","2:17.943","6:33.178","Green","Pit","37.173","0.000","0.000"
"28","GS","Trent Hindman","3","1:56.705","7:49.250","Green","Track","26.968","44.205","45.532"
"46","GS","Paul Holton","3","1:57.377","7:51.007","Green","Track","27.163","44.535","45.679"
"19","GS","Rory van der Steur","3","1:56.787","7:51.645","Green","Track","26.976","43.974","45.837"
"69","GS","Jesse Lazare","3","1:57.841","7:53.347","Green","Track","27.001","44.920","45.920"
"34","GS","Michai Stephens","3","1:58.676","7:54.375","Green","Track","27.398","45.144","46.134"
"21","GS","Jake Pedersen","3","1:58.853","7:54.929","Green","Track","27.075","44.926","46.852"
"44","GS","Moisey Uretsky","3","1:58.804","7:55.246","Green","Track","27.158","45.022","46.624"
"67","GS","Nikita Lastochkin","3","1:58.720","7:55.667","Green","Track","27.280","44.951","46.489"
"96","GS","Francis Selldorff","3","1:58.741","7:55.890","Green","Track","27.231","45.122","46.388"
"95","GS","Dillon Machavern","3","1:58.501","7:56.400","Green","Track","27.271","45.106","46.124"
"13","GS","Jenson Altzman","3","1:59.362","7:56.921","Green","Track","26.957","45.498","46.907"
"57","GS","Bryce Ward","3","1:59.081","7:57.708","Green","Track","27.289","45.035","46.757"
"91","GS","Michael McCarthy","3","1:58.994","7:58.042","Green","Track","27.313","45.130","46.551"
"09","GS","John Potter","3","1:59.466","7:58.715","Green","Track","27.352","45.668","46.446"
"88","GS","Todd Coleman","3","1:59.766","7:59.243","Green","Track","27.454","45.871","46.441"
"92","GS","Paul Sparta","3","1:59.713","8:00.209","Green","Track","27.161","46.066","46.486"
"39","GS","Sean McAlister","3","1:58.585","8:00.362","Green","Track","27.416","44.925","46.244"
"59","GS","Bob Michaelian","3","2:01.114","8:01.058","Green","Track","27.394","46.629","47.091"
"9","GS","Brandon Kidd","3","2:00.122","8:02.597","Green","Track","27.521","46.100","46.501"
"38","GS","Thomas Collingwood","3","2:01.481","8:03.287","Green","Track","28.040","45.650","47.791"
"43","GS","Sean Quinlan","3","2:00.180","8:04.633","Green","Track","27.750","45.678","46.752"
"71","GS","Frank DePew","3","2:00.446","8:05.596","Green","Track","27.501","45.791","47.154"
"16","GS","Ken Fukuda","3","2:00.145","8:05.963","Green","Track","27.320","45.614","47.211"
"64","GS","Ted Giovanis","3","2:05.691","8:13.137","Green","Track","28.913","48.045","48.733"
"93","TCR","DAI Yoshihara","3","1:58.745","8:16.263","Green","Track","27.758","44.518","46.469"
"17","TCR","Chris Miller","3","1:58.770","8:16.825","Green","Track","27.522","45.075","46.173"
"98","TCR","Mason Filippi","3","1:58.965","8:17.522","Green","Track","27.710","44.868","46.387"
"80","TCR","Chase Jones","3","1:59.286","8:18.217","Green","Track","27.944","44.792","46.550"
"33","TCR","Harry Gottsacker","3","1:59.254","8:18.547","Green","Track","27.721","44.925","46.608"
"77","TCR","Taylor Hagler","3","1:59.235","8:19.288","Green","Track","27.752","44.859","46.624"
"99","TCR","Clayton Williams","3","1:59.686","8:20.127","Green","Track","27.901","44.864","46.921"
"55","TCR","Eddie Gou","3","2:00.203","8:21.448","Green","Track","27.463","45.921","46.819"
"76","TCR","Preston Brown","3","2:00.286","8:21.780","Green","Track","27.890","45.636","46.760"
"61","TCR","Gavin Ernstone","3","1:59.962","8:22.826","Green","Track","27.282","45.789","46.891"
"73","TCR","Daniel Wu","3","2:01.657","8:25.090","Green","Track","28.409","45.706","47.542"
"82","GS","Brady Behrman","3","3:20.007","9:27.046","Green","Pit","29.481","49.325","121.201"
"28","GS","Trent Hindman","4","1:56.664","9:45.914","Green","Track","26.873","44.037","45.754"
"46","GS","Paul Holton","4","1:57.052","9:48.059","Green","Track","26.900","44.453","45.699"
"69","GS","Jesse Lazare","4","1:57.705","9:51.052","Green","Track","26.948","44.795","45.962"
"34","GS","Michai Stephens","4","1:57.325","9:51.700","Green","Track","27.103","44.231","45.991"
"21","GS","Jake Pedersen","4","1:58.140","9:53.069","Green","Track","27.382","44.629","46.129"
"44","GS","Moisey Uretsky","4","1:58.361","9:53.607","Green","Track","27.319","44.814","46.228"
"67","GS","Nikita Lastochkin","4","1:58.822","9:54.489","Green","Track","27.339","45.174","46.309"
"96","GS","Francis Selldorff","4","1:58.849","9:54.739","Green","Track","27.208","45.416","46.225"
"95","GS","Dillon Machavern","4","1:58.557","9:54.957","Green","Track","27.020","45.362","46.175"
"13","GS","Jenson Altzman","4","1:58.768","9:55.689","Green","Track","27.060","45.349","46.359"
"57","GS","Bryce Ward","4","1:58.534","9:56.242","Green","Track","27.215","44.830","46.489"
"91","GS","Michael McCarthy","4","1:58.766","9:56.808","Green","Track","27.209","44.971","46.586"
"88","GS","Todd Coleman","4","1:58.931","9:58.174","Green","Track","27.085","45.440","46.406"
