"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"5","DPi","Tristan Vautier","1","1:37.801","1:37.801","Green","Track","24.646","44.707","28.147"
"48","DPi","Kamui Kobayashi","1","1:38.359","1:38.359","Green","Track","24.828","45.028","28.044"
"10","DPi","Filipe Albuquerque","1","1:39.050","1:39.050","Green","Track","25.069","45.772","28.208"
"60","DPi","Tom Blomqvist","1","1:39.352","1:39.352","Green","Track","25.422","45.287","28.206"
"01","DPi","Sebastien Bourdais","1","1:40.266","1:40.266","Green","Track","25.365","45.570","28.600"
"02","DPi","Earl Bamber","1","1:41.057","1:41.057","Green","Track","25.701","45.832","28.674"
"31","DPi","Pipo Derani","1","1:41.145","1:41.145","Green","Track","25.948","45.600","28.501"
"69","LMP2","John Falb","1","1:44.639","1:44.639","Green","Track","26.398","46.844","29.641"
"52","LMP2","Ben Keating","1","1:44.740","1:44.740","Green","Track","26.613","47.199","29.665"
"68","LMP2","Francois Heriau","1","1:46.129","1:46.129","Green","Track","27.121","47.782","29.686"
"81","LMP2","Eric Lux","1","1:46.419","1:46.419","Green","Track","27.302","47.582","29.780"
"11","LMP2","Steven Thomas","1","1:46.573","1:46.573","Green","Track","27.685","47.617","29.594"
"20","LMP2","Dennis Andersen","1","1:47.536","1:47.536","Green","Track","27.859","47.549","30.085"
"29","LMP2","Frits Van Eerd","1","1:48.607","1:48.607","Green","Track","28.031","47.977","30.223"
"8","LMP2","John Farano","1","1:51.360","1:51.360","Green","Track","28.937","49.280","30.573"
"22","LMP2","James McGuire","1","1:52.533","1:52.533","Green","Track","29.337","49.416","31.063"
"18","LMP2","Dwight Merriman","1","1:52.621","1:52.621","Green","Track","29.717","49.143","30.750"
"36","LMP3","Jarett Andretti","1","1:56.089","1:56.089","Green","Track","29.542","51.184","32.317"
"6","LMP3","Efrin Castro","1","1:56.844","1:56.844","Green","Track","29.909","51.134","32.538"
"26","LMP3","CR Crews","1","1:57.898","1:57.898","Green","Track","29.842","51.345","32.478"
"13","LMP3","Orey Fidani","1","1:57.892","1:57.892","Green","Track","30.441","51.510","32.527"
"38","LMP3","Dan Goldburg","1","1:58.180","1:58.180","Green","Track","30.069","52.094","31.999"
"33","LMP3","Lance Willsey","1","1:59.197","1:59.197","Green","Track","30.279","53.127","32.117"
"74","LMP3","Gar Robinson","1","1:59.536","1:59.536","Green","Track","30.771","51.888","32.322"
"54","LMP3","Jon Bennett","1","2:00.214","2:00.214","Green","Track","30.124","52.907","32.797"
"7","LMP3","Mark Kvamme","1","2:01.018","2:01.018","Green","Track","31.209","52.999","32.908"
"63","GTDPRO","Marco Mapelli","1","2:05.154","2:05.154","Green","Track","26.708","50.114","32.164"
"9","GTDPRO","Mathieu Jaminet","1","2:05.453","2:05.453","Green","Track","26.785","50.414","32.019"
"59","GTD","Jon Miller","1","2:05.961","2:05.961","Green","Track","27.160","50.126","32.015"
"57","GTD","Russell Ward","1","2:06.604","2:06.604","Green","Track","27.516","50.496","32.132"
"15","GTDPRO","Austin Cindric","1","2:07.094","2:07.094","Green","Track","27.704","50.813","31.890"
"14","GTDPRO","Ben Barnicoat","1","2:07.149","2:07.149","Green","Track","27.755","50.747","31.740"
"12","GTD","Frankie Montecalvo","1","2:07.157","2:07.157","Green","Track","27.162","50.681","32.335"
"23","GTDPRO","Ross Gunn","1","2:07.996","2:07.996","Green","Track","28.352","50.836","32.024"
"70","GTD","Frederik Schandorff","1","2:08.987","2:08.987","Green","Track","28.196","51.383","31.804"
"75","GTD","Kenny Habul","1","2:09.084","2:09.084","Green","Track","28.146","51.248","32.423"
"79","GTDPRO","Julien Andlauer","1","2:09.426","2:09.426","Green","Track","28.186","51.135","32.124"
"28","GTD","Daniel Morad","1","2:10.118","2:10.118","Green","Track","28.142","51.736","32.719"
"3","GTDPRO","Antonio Garcia","1","2:10.217","2:10.217","Green","Track","28.184","51.840","32.765"
"32","GTD","Mike Skeen","1","2:10.378","2:10.378","Green","Track","28.028","52.195","32.720"
"4","GTDPRO","Nick Tandy","1","2:10.519","2:10.519","Green","Track","28.215","51.876","32.653"
"2","GTDPRO","Patrick Pilet","1","2:10.639","2:10.639","Green","Track","28.003","51.188","32.735"
"39","GTD","Corey Lewis","1","2:11.370","2:11.370","Green","Track","28.506","51.777","33.327"
"98","GTD","David Pittard","1","2:11.371","2:11.371","Green","Track","28.263","51.837","32.918"
"62","GTDPRO","Alessandro Pier Guidi","1","2:11.601","2:11.601","Green","Track","28.378","51.089","33.018"
"97","GTDPRO","Cooper MacNeil","1","2:12.562","2:12.562","Green","Track","29.202","52.424","32.859"
"44","GTD","John Potter","1","2:12.695","2:12.695","Green","Track","29.045","52.405","32.744"
"47","GTD","Giorgio Sernagiotto","1","2:12.969","2:12.969","Green","Track","28.628","52.408","32.755"
"24","GTDPRO","Marco Wittmann","1","2:13.783","2:13.783","Green","Track","28.374","52.235","33.078"
"25","GTDPRO","Connor De Phillippi","1","2:14.362","2:14.362","Green","Track","28.853","52.638","33.183"
"19","GTD","Bill Sweedler","1","2:14.394","2:14.394","Green","Track","28.611","52.586","33.675"
"34","GTD","James Sofronas","1","2:14.729","2:14.729","Green","Track","28.622","52.885","32.797"
"16","GTD","Ryan Hardwick","1","2:15.351","2:15.351","Green","Track","29.527","53.673","33.323"
"21","GTD","Luis Perez Companc","1","2:16.024","2:16.024","Green","Track","28.990","52.743","33.590"
"66","GTD","Till Bechtolsheimer","1","2:16.104","2:16.104","Green","Track","29.271","53.003","33.923"
"96","GTD","Robby Foley","1","2:16.159","2:16.159","Green","Track","27.847","52.789","33.328"
"71","GTD","Misha Goikhberg","1","2:16.292","2:16.292","Green","Track","27.583","52.192","33.104"
"99","GTD","Nick Boulle","1","2:17.085","2:17.085","Green","Track","29.463","53.415","33.967"
"27","GTD","Ian James","1","2:18.327","2:18.327","Green","Track","28.888","52.454","33.459"
"42","GTD","Don Yount","1","2:18.426","2:18.426","Green","Track","30.150","53.665","33.731"
"64","GTD","Ted Giovanis","1","2:21.579","2:21.579","Green","Track","31.407","53.527","34.696"
"5","DPi","Tristan Vautier","2","1:35.573","3:13.374","Green","Track","23.108","44.564","27.901"
"48","DPi","Kamui Kobayashi","2","1:36.214","3:14.573","Green","Track","23.491","44.792","27.931"
"10","DPi","Filipe Albuquerque","2","1:35.629","3:14.679","Green","Track","23.188","44.699","27.742"
"60","DPi","Tom Blomqvist","2","1:36.460","3:15.812","Green","Track","23.552","44.761","28.147"
"01","DPi","Sebastien Bourdais","2","1:36.455","3:16.721","Green","Track","23.321","44.767","28.367"
"02","DPi","Earl Bamber","2","1:36.058","3:17.115","Green","Track","23.318","44.617","28.123"
"31","DPi","Pipo Derani","2","1:36.312","3:17.457","Green","Track","23.525","44.535","28.252"
"69","LMP2","John Falb","2","1:38.642","3:23.281","Green","Track","23.653","45.634","29.355"
"52","LMP2","Ben Keating","2","1:39.118","3:23.858","Green","Track","24.276","45.881","28.961"
"11","LMP2","Steven Thomas","2","1:39.626","3:26.199","Green","Track","24.102","46.180","29.344"
"68","LMP2","Francois Heriau","2","1:41.604","3:27.733","Green","Track","25.196","46.998","29.410"
"81","LMP2","Eric Lux","2","1:41.672","3:28.091","Green","Track","25.081","47.043","29.548"
"20","LMP2","Dennis Andersen","2","1:41.227","3:28.763","Green","Track","24.636","46.800","29.791"
"29","LMP2","Frits Van Eerd","2","1:41.229","3:29.836","Green","Track","24.441","46.585","30.203"
"8","LMP2","John Farano","2","1:42.918","3:34.278","Green","Track","25.942","47.286","29.690"
"18","LMP2","Dwight Merriman","2","1:42.203","3:34.824","Green","Track","25.022","47.581","29.600"
"22","LMP2","James McGuire","2","1:44.124","3:36.657","Green","Track","25.797","47.941","30.386"
"36","LMP3","Jarett Andretti","2","1:47.040","3:43.129","Green","Track","25.898","49.404","31.738"
"6","LMP3","Efrin Castro","2","1:46.944","3:43.788","Green","Track","25.873","49.464","31.607"
"26","LMP3","CR Crews","2","1:46.159","3:44.057","Green","Track","25.637","49.151","31.371"
"13","LMP3","Orey Fidani","2","1:48.750","3:46.642","Green","Track","26.606","50.134","32.010"
"38","LMP3","Dan Goldburg","2","1:48.505","3:46.685","Green","Track","26.661","50.091","31.753"
"74","LMP3","Gar Robinson","2","1:47.484","3:47.020","Green","Track","26.276","49.338","31.870"
"54","LMP3","Jon Bennett","2","1:48.475","3:48.689","Green","Track","26.347","49.831","32.297"
"33","LMP3","Lance Willsey","2","1:50.202","3:49.399","Green","Track","27.929","50.599","31.674"
"7","LMP3","Mark Kvamme","2","1:49.365","3:50.383","Green","Track","26.775","50.382","32.208"
"63","GTDPRO","Marco Mapelli","2","1:46.559","3:51.713","Green","Track","25.112","49.556","31.891"
"9","GTDPRO","Mathieu Jaminet","2","1:46.374","3:51.827","Green","Track","25.277","49.477","31.620"
"59","GTD","Jon Miller","2","1:46.384","3:52.345","Green","Track","25.382","49.417","31.585"
"57","GTD","Russell Ward","2","1:46.835","3:53.439","Green","Track","25.336","49.755","31.744"
"14","GTDPRO","Ben Barnicoat","2","1:46.470","3:53.619","Green","Track","25.371","49.635","31.464"
"15","GTDPRO","Austin Cindric","2","1:47.104","3:54.198","Green","Track","25.731","49.704","31.669"
"12","GTD","Frankie Montecalvo","2","1:47.714","3:54.871","Green","Track","26.059","49.966","31.689"
"23","GTDPRO","Ross Gunn","2","1:47.034","3:55.030","Green","Track","25.280","50.183","31.571"
"70","GTD","Frederik Schandorff","2","1:46.463","3:55.450","Green","Track","25.362","49.632","31.469"
"79","GTDPRO","Julien Andlauer","2","1:46.989","3:56.415","Green","Track","25.557","49.583","31.849"
"75","GTD","Kenny Habul","2","1:48.081","3:57.165","Green","Track","25.645","49.946","32.490"
"28","GTD","Daniel Morad","2","1:47.254","3:57.372","Green","Track","25.704","49.591","31.959"
"3","GTDPRO","Antonio Garcia","2","1:47.552","3:57.769","Green","Track","25.988","49.774","31.790"
"4","GTDPRO","Nick Tandy","2","1:47.655","3:58.174","Green","Track","25.907","49.903","31.845"
"32","GTD","Mike Skeen","2","1:47.803","3:58.181","Green","Track","25.784","49.977","32.042"
"2","GTDPRO","Patrick Pilet","2","1:47.732","3:58.371","Green","Track","26.087","49.784","31.861"
"98","GTD","David Pittard","2","1:47.885","3:59.256","Green","Track","25.947","50.012","31.926"
"39","GTD","Corey Lewis","2","1:47.997","3:59.367","Green","Track","25.719","50.008","32.270"
"62","GTDPRO","Alessandro Pier Guidi","2","1:47.832","3:59.433","Green","Track","25.971","50.099","31.762"
"97","GTDPRO","Cooper MacNeil","2","1:48.663","4:01.225","Green","Track","26.038","50.279","32.346"
"47","GTD","Giorgio Sernagiotto","2","1:48.557","4:01.526","Green","Track","26.404","50.163","31.990"
"44","GTD","John Potter","2","1:49.435","4:02.130","Green","Track","26.502","50.373","32.560"
"25","GTDPRO","Connor De Phillippi","2","1:48.310","4:02.672","Green","Track","26.051","50.397","31.862"
"24","GTDPRO","Marco Wittmann","2","1:48.955","4:02.738","Green","Track","26.175","50.630","32.150"
"19","GTD","Bill Sweedler","2","1:50.056","4:04.450","Green","Track","26.745","50.685","32.626"
"16","GTD","Ryan Hardwick","2","1:49.792","4:05.143","Green","Track","26.485","50.771","32.536"
"34","GTD","James Sofronas","2","1:50.475","4:05.204","Green","Track","26.740","50.868","32.867"
"71","GTD","Misha Goikhberg","2","1:49.353","4:05.645","Green","Track","26.468","50.909","31.976"
"99","GTD","Nick Boulle","2","1:49.574","4:06.659","Green","Track","26.580","50.573","32.421"
"66","GTD","Till Bechtolsheimer","2","1:50.598","4:06.702","Green","Track","27.110","50.809","32.679"
"21","GTD","Luis Perez Companc","2","1:51.041","4:07.065","Green","Track","26.419","51.981","32.641"
"27","GTD","Ian James","2","1:49.100","4:07.427","Green","Track","26.245","50.607","32.248"
"96","GTD","Robby Foley","2","1:52.260","4:08.419","Green","Track","25.967","53.430","32.863"
"42","GTD","Don Yount","2","1:51.824","4:10.250","Green","Track","27.116","51.466","33.242"
"64","GTD","Ted Giovanis","2","1:54.098","4:15.677","Green","Track","27.543","52.368","34.187"
"5","DPi","Tristan Vautier","3","1:35.232","4:48.606","Green","Track","23.121","44.309","27.802"
"48","DPi","Kamui Kobayashi","3","1:35.314","4:49.887","Green","Track","23.039","44.478","27.797"
"10","DPi","Filipe Albuquerque","3","1:35.954","4:50.633","Green","Track","23.456","44.569","27.929"
"60","DPi","Tom Blomqvist","3","1:35.707","4:51.519","Green","Track","23.048","44.669","27.990"
"01","DPi","Sebastien Bourdais","3","1:35.134","4:51.855","Green","Track","22.916","44.255","27.963"
"02","DPi","Earl Bamber","3","1:35.224","4:52.339","Green","Track","22.886","44.420","27.918"
"31","DPi","Pipo Derani","3","1:35.473","4:52.930","Green","Track","23.215","44.349","27.909"
"69","LMP2","John Falb","3","1:38.406","5:01.687","Green","Track","23.502","45.482","29.422"
"52","LMP2","Ben Keating","3","1:38.201","5:02.059","Green","Track","23.749","45.630","28.822"
"11","LMP2","Steven Thomas","3","1:39.087","5:05.286","Green","Track","23.856","45.885","29.346"
"68","LMP2","Francois Heriau","3","1:38.906","5:06.639","Green","Track","23.603","46.253","29.050"
"81","LMP2","Eric Lux","3","1:38.826","5:06.917","Green","Track","23.690","46.031","29.105"
"20","LMP2","Dennis Andersen","3","1:39.899","5:08.662","Green","Track","24.055","46.304","29.540"
"29","LMP2","Frits Van Eerd","3","1:40.099","5:09.935","Green","Track","24.041","46.206","29.852"
"8","LMP2","John Farano","3","1:41.151","5:15.429","Green","Track","24.547","46.964","29.640"
"18","LMP2","Dwight Merriman","3","1:40.807","5:15.631","Green","Track","24.662","46.886","29.259"
"22","LMP2","James McGuire","3","1:43.960","5:20.617","Green","Track","26.748","47.216","29.996"
"36","LMP3","Jarett Andretti","3","1:46.046","5:29.175","Green","Track","25.567","48.835","31.644"
"6","LMP3","Efrin Castro","3","1:45.565","5:29.353","Green","Track","25.367","48.366","31.832"
"26","LMP3","CR Crews","3","1:45.377","5:29.434","Green","Track","25.404","48.878","31.095"
"38","LMP3","Dan Goldburg","3","1:46.926","5:33.611","Green","Track","26.354","49.273","31.299"
"13","LMP3","Orey Fidani","3","1:47.254","5:33.896","Green","Track","25.965","49.385","31.904"
"74","LMP3","Gar Robinson","3","1:47.113","5:34.133","Green","Track","26.253","49.384","31.476"
"33","LMP3","Lance Willsey","3","1:48.191","5:37.590","Green","Track","26.583","49.993","31.615"
"63","GTDPRO","Marco Mapelli","3","1:48.624","5:40.337","Green","Track","25.285","50.308","33.031"
"7","LMP3","Mark Kvamme","3","1:49.981","5:40.364","Green","Track","26.354","50.231","33.396"
"59","GTD","Jon Miller","3","1:48.104","5:40.449","Green","Track","25.595","50.022","32.487"
"14","GTDPRO","Ben Barnicoat","3","1:46.907","5:40.526","Green","Track","25.243","49.700","31.964"
"9","GTDPRO","Mathieu Jaminet","3","1:48.769","5:40.596","Green","Track","25.500","50.212","33.057"
"57","GTD","Russell Ward","3","1:47.290","5:40.729","Green","Track","25.153","49.652","32.485"
"15","GTDPRO","Austin Cindric","3","1:46.626","5:40.824","Green","Track","25.208","49.435","31.983"
"12","GTD","Frankie Montecalvo","3","1:46.277","5:41.148","Green","Track","25.125","49.515","31.637"
"23","GTDPRO","Ross Gunn","3","1:46.196","5:41.226","Green","Track","25.243","49.454","31.499"
"70","GTD","Frederik Schandorff","3","1:46.092","5:41.542","Green","Track","25.315","49.272","31.505"
"79","GTDPRO","Julien Andlauer","3","1:45.722","5:42.137","Green","Track","24.908","49.104","31.710"
"75","GTD","Kenny Habul","3","1:47.058","5:44.223","Green","Track","25.496","49.631","31.931"
"28","GTD","Daniel Morad","3","1:47.055","5:44.427","Green","Track","25.534","49.743","31.778"
"3","GTDPRO","Antonio Garcia","3","1:46.908","5:44.677","Green","Track","25.472","49.817","31.619"
"4","GTDPRO","Nick Tandy","3","1:46.655","5:44.829","Green","Track","25.413","49.708","31.534"
"2","GTDPRO","Patrick Pilet","3","1:46.856","5:45.227","Green","Track","25.612","49.536","31.708"
"32","GTD","Mike Skeen","3","1:47.630","5:45.811","Green","Track","26.294","49.646","31.690"
"98","GTD","David Pittard","3","1:46.591","5:45.847","Green","Track","25.625","49.490","31.476"
"62","GTDPRO","Alessandro Pier Guidi","3","1:46.825","5:46.258","Green","Track","25.734","49.522","31.569"
"39","GTD","Corey Lewis","3","1:48.139","5:47.506","Green","Track","25.990","49.957","32.192"
"97","GTDPRO","Cooper MacNeil","3","1:47.340","5:48.565","Green","Track","25.445","49.911","31.984"
"47","GTD","Giorgio Sernagiotto","3","1:47.126","5:48.652","Green","Track","25.594","49.742","31.790"
"44","GTD","John Potter","3","1:48.061","5:50.191","Green","Track","25.790","49.926","32.345"
"25","GTDPRO","Connor De Phillippi","3","1:47.959","5:50.631","Green","Track","25.678","50.337","31.944"
"24","GTDPRO","Marco Wittmann","3","1:48.614","5:51.352","Green","Track","26.009","50.413","32.192"
"19","GTD","Bill Sweedler","3","1:48.587","5:53.037","Green","Track","25.957","50.230","32.400"
"16","GTD","Ryan Hardwick","3","1:47.973","5:53.116","Green","Track","25.740","49.972","32.261"
"34","GTD","James Sofronas","3","1:48.790","5:53.994","Green","Track","25.876","50.435","32.479"
"71","GTD","Misha Goikhberg","3","1:48.567","5:54.212","Green","Track","25.806","50.321","32.440"
"99","GTD","Nick Boulle","3","1:47.717","5:54.376","Green","Track","25.680","49.725","32.312"
"21","GTD","Luis Perez Companc","3","1:48.390","5:55.455","Green","Track","26.211","49.900","32.279"
"66","GTD","Till Bechtolsheimer","3","1:48.785","5:55.487","Green","Track","26.127","50.139","32.519"
"27","GTD","Ian James","3","1:48.271","5:55.698","Green","Track","26.113","50.255","31.903"
"96","GTD","Robby Foley","3","1:47.905","5:56.324","Green","Track","25.489","50.358","32.058"
"54","LMP3","Jon Bennett","3","2:10.524","5:59.213","Green","Pit","26.604","50.732","53.188"
"42","GTD","Don Yount","3","1:50.548","6:00.798","Green","Track","26.285","51.154","33.109"
"64","GTD","Ted Giovanis","3","1:53.222","6:08.899","Green","Track","27.191","52.028","34.003"
"5","DPi","Tristan Vautier","4","1:34.699","6:23.305","Green","Track","22.820","44.084","27.795"
"48","DPi","Kamui Kobayashi","4","1:34.747","6:24.634","Green","Track","22.756","44.265","27.726"
"10","DPi","Filipe Albuquerque","4","1:34.799","6:25.432","Green","Track","22.993","44.194","27.612"
"01","DPi","Sebastien Bourdais","4","1:34.944","6:26.799","Green","Track","23.120","44.073","27.751"
"60","DPi","Tom Blomqvist","4","1:35.630","6:27.149","Green","Track","23.386","44.524","27.720"
"02","DPi","Earl Bamber","4","1:35.270","6:27.609","Green","Track","22.857","44.539","27.874"
"31","DPi","Pipo Derani","4","1:35.338","6:28.268","Green","Track","23.179","44.320","27.839"
"69","LMP2","John Falb","4","1:38.582","6:40.269","Green","Track","23.728","45.578","29.276"
"52","LMP2","Ben Keating","4","1:38.291","6:40.350","Green","Track","23.870","45.798","28.623"
"11","LMP2","Steven Thomas","4","1:39.003","6:44.289","Green","Track","23.762","45.975","29.266"
"68","LMP2","Francois Heriau","4","1:38.798","6:45.437","Green","Track","23.774","46.012","29.012"
"81","LMP2","Eric Lux","4","1:39.112","6:46.029","Green","Track","23.930","45.972","29.210"
"20","LMP2","Dennis Andersen","4","1:39.277","6:47.939","Green","Track","23.787","46.032","29.458"
"29","LMP2","Frits Van Eerd","4","1:39.471","6:49.406","Green","Track","23.814","46.059","29.598"
"8","LMP2","John Farano","4","1:40.360","6:55.789","Green","Track","24.311","46.612","29.437"
"18","LMP2","Dwight Merriman","4","1:40.346","6:55.977","Green","Track","24.721","46.436","29.189"
"22","LMP2","James McGuire","4","1:42.292","7:02.909","Green","Track","24.909","47.346","30.037"
"36","LMP3","Jarett Andretti","4","1:44.973","7:14.148","Green","Track","24.879","48.620","31.474"
"26","LMP3","CR Crews","4","1:44.974","7:14.408","Green","Track","25.265","48.548","31.161"
"6","LMP3","Efrin Castro","4","1:45.872","7:15.225","Green","Track","25.790","48.625","31.457"
"38","LMP3","Dan Goldburg","4","1:46.022","7:19.633","Green","Track","25.408","49.059","31.555"
"74","LMP3","Gar Robinson","4","1:47.060","7:21.193","Green","Track","25.959","49.615","31.486"
"13","LMP3","Orey Fidani","4","1:47.951","7:21.847","Green","Track","25.843","50.124","31.984"
"33","LMP3","Lance Willsey","4","1:47.311","7:24.901","Green","Track","26.382","49.420","31.509"
"63","GTDPRO","Marco Mapelli","4","1:46.567","7:26.904","Green","Track","25.227","49.315","32.025"
"59","GTD","Jon Miller","4","1:46.865","7:27.314","Green","Track","25.792","49.361","31.712"
"14","GTDPRO","Ben Barnicoat","4","1:47.238","7:27.764","Green","Track","26.107","49.475","31.656"
"9","GTDPRO","Mathieu Jaminet","4","1:47.388","7:27.984","Green","Track","26.256","49.524","31.608"
"15","GTDPRO","Austin Cindric","4","1:47.550","7:28.374","Green","Track","26.389","49.565","31.596"
"23","GTDPRO","Ross Gunn","4","1:47.496","7:28.722","Green","Track","26.449","49.462","31.585"
"70","GTD","Frederik Schandorff","4","1:47.630","7:29.172","Green","Track","26.487","49.600","31.543"
"79","GTDPRO","Julien Andlauer","4","1:47.366","7:29.503","Green","Track","26.281","49.370","31.715"
"57","GTD","Russell Ward","4","1:49.777","7:30.506","Green","Track","27.896","50.000","31.881"
"7","LMP3","Mark Kvamme","4","1:50.737","7:31.101","Green","Track","28.059","51.035","31.643"
"12","GTD","Frankie Montecalvo","4","1:50.568","7:31.716","Green","Track","27.713","50.957","31.898"
"28","GTD","Daniel Morad","4","1:47.848","7:32.275","Green","Track","25.494","50.330","32.024"
"75","GTD","Kenny Habul","4","1:48.431","7:32.654","Green","Track","25.408","50.903","32.120"
"4","GTDPRO","Nick Tandy","4","1:47.902","7:32.731","Green","Track","25.603","50.262","32.037"
"3","GTDPRO","Antonio Garcia","4","1:48.249","7:32.926","Green","Track","25.413","50.803","32.033"
"98","GTD","David Pittard","4","1:47.220","7:33.067","Green","Track","25.548","49.647","32.025"
"2","GTDPRO","Patrick Pilet","4","1:48.092","7:33.319","Green","Track","25.389","50.426","32.277"
"32","GTD","Mike Skeen","4","1:47.865","7:33.676","Green","Track","25.202","50.283","32.380"
"62","GTDPRO","Alessandro Pier Guidi","4","1:47.452","7:33.710","Green","Track","25.429","49.849","32.174"
"39","GTD","Corey Lewis","4","1:47.101","7:34.607","Green","Track","24.999","49.503","32.599"
"47","GTD","Giorgio Sernagiotto","4","1:46.555","7:35.207","Green","Track","25.374","49.316","31.865"
"97","GTDPRO","Cooper MacNeil","4","1:48.161","7:36.726","Green","Track","26.074","49.851","32.236"
"44","GTD","John Potter","4","1:47.752","7:37.943","Green","Track","25.704","49.925","32.123"
"25","GTDPRO","Connor De Phillippi","4","1:47.903","7:38.534","Green","Track","25.631","50.223","32.049"
"24","GTDPRO","Marco Wittmann","4","1:47.997","7:39.349","Green","Track","25.426","50.277","32.294"
"16","GTD","Ryan Hardwick","4","1:48.580","7:41.696","Green","Track","26.341","50.066","32.173"
"19","GTD","Bill Sweedler","4","1:48.707","7:41.744","Green","Track","26.041","50.188","32.478"
"34","GTD","James Sofronas","4","1:48.715","7:42.709","Green","Track","25.746","50.531","32.438"
"71","GTD","Misha Goikhberg","4","1:48.676","7:42.888","Green","Track","26.078","50.192","32.406"
