"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"01","GTP","Sebastien Bourdais","1","1:14.788","1:14.788","Green","Track","9.272","39.907","25.454"
"10","GTP","Louis Deletraz","1","1:16.510","1:16.510","Green","Track","9.746","41.452","25.311"
"60","GTP","Tom Blomqvist","1","1:16.768","1:16.768","Green","Track","9.811","41.265","25.217"
"24","GTP","Augusto Farfus","1","1:17.446","1:17.446","Green","Track","9.792","41.798","25.533"
"6","GTP","Nick Tandy","1","1:17.786","1:17.786","Green","Track","9.832","41.885","25.445"
"7","GTP","Felipe Nasr","1","1:18.375","1:18.375","Green","Track","9.797","42.201","25.501"
"25","GTP","Connor De Phillippi","1","1:19.069","1:19.069","Green","Track","10.041","42.181","25.520"
"5","GTP","Mike Rockenfeller","1","1:19.556","1:19.556","Green","Track","10.101","42.260","25.752"
"31","GTP","Pipo Derani","1","1:19.950","1:19.950","Green","Track","10.260","42.340","25.767"
"59","GTP","Neel Jani","1","1:21.129","1:21.129","Green","Track","10.317","42.828","26.100"
"11","LMP2","Steven Thomas","1","1:23.442","1:23.442","Green","Track","10.441","43.405","27.519"
"52","LMP2","Ben Keating","1","1:23.932","1:23.932","Green","Track","10.542","43.762","27.469"
"04","LMP2","George Kurtz","1","1:24.257","1:24.257","Green","Track","10.443","43.753","27.620"
"35","LMP2","John Falb","1","1:24.651","1:24.651","Green","Track","10.798","43.959","27.582"
"88","LMP2","Francois Perrodo","1","1:25.902","1:25.902","Green","Track","10.558","44.686","27.816"
"20","LMP2","Dennis Andersen","1","1:27.533","1:27.533","Green","Track","10.536","45.440","28.433"
"18","LMP2","Dwight Merriman","1","1:28.159","1:28.159","Green","Track","10.715","45.620","28.239"
"36","LMP3","Glenn van Berlo","1","1:28.596","1:28.596","Green","Track","10.644","45.658","28.927"
"30","LMP3","Bijoy Garg","1","1:28.920","1:28.920","Green","Track","10.724","45.926","28.491"
"13","LMP3","Orey Fidani","1","1:29.919","1:29.919","Green","Track","10.721","46.037","28.968"
"38","LMP3","Cameron Shields","1","1:30.150","1:30.150","Green","Track","10.791","45.901","28.647"
"74","LMP3","Gar Robinson","1","1:30.624","1:30.624","Green","Track","10.845","45.887","29.296"
"17","LMP3","Anthony Mantella","1","1:30.849","1:30.849","Green","Track","10.923","46.702","28.796"
"27","GTD","Ian James","1","1:54.120","1:54.120","Green","Track","10.632","44.303","28.732"
"14","GTDPRO","Jack Hawksworth","1","1:54.409","1:54.409","Green","Track","10.678","44.314","28.820"
"83","GTD","Doriane Pin","1","1:54.733","1:54.733","Green","Track","10.811","44.356","28.796"
"12","GTD","Aaron Telitz","1","1:54.892","1:54.892","Green","Track","10.823","44.626","28.599"
"3","GTDPRO","Antonio Garcia","1","1:55.501","1:55.501","Green","Track","10.912","44.820","28.677"
"97","GTD","Bill Auberlen","1","1:56.056","1:56.056","Green","Track","10.753","45.487","28.665"
"79","GTDPRO","Jules Gounon","1","1:56.465","1:56.465","Green","Track","10.820","45.598","28.661"
"62","GTDPRO","Daniel Serra","1","1:56.848","1:56.848","Green","Track","10.776","45.536","28.695"
"57","GTD","Philip Ellis","1","1:57.583","1:57.583","Green","Track","11.114","46.124","28.871"
"9","GTDPRO","Patrick Pilet","1","1:57.964","1:57.964","Green","Track","10.950","46.389","28.811"
"70","GTD","Brendan Iribe","1","1:58.422","1:58.422","Green","Track","10.810","46.345","29.095"
"23","GTDPRO","Alex Riberas","1","1:58.644","1:58.644","Green","Track","10.669","46.249","28.995"
"66","GTD","Katherine Legge","1","1:59.026","1:59.026","Green","Track","11.237","46.931","28.868"
"93","GTD","Kyle Marcelli","1","1:59.385","1:59.385","Green","Track","10.822","46.514","29.055"
"1","GTD","Madison Snow","1","1:59.501","1:59.501","Green","Track","10.804","46.643","28.859"
"32","GTD","Mike Skeen","1","2:00.561","2:00.561","Green","Track","10.775","46.935","28.960"
"61","GTDPRO","Miguel Molina","1","2:00.835","2:00.835","Green","Track","10.760","47.116","29.588"
"47","GTD","Antonio Fuoco","1","2:01.170","2:01.170","Green","Track","10.769","47.153","29.233"
"16","GTD","Zacharie Robichon","1","2:01.454","2:01.454","Green","Track","10.636","46.969","29.546"
"96","GTD","Michael Dinan","1","2:01.699","2:01.699","Green","Track","10.453","46.920","29.339"
"78","GTD","Misha Goikhberg","1","2:02.279","2:02.279","Green","Track","10.907","47.789","29.985"
"77","GTD","Alan Brynjolfsson","1","2:02.663","2:02.663","Green","Track","10.590","46.450","29.863"
"023","GTD","Charles Scardina","1","2:04.586","2:04.586","Green","Track","11.067","45.558","29.514"
"44","GTD","John Potter","1","2:05.666","2:05.666","Green","Track","10.784","45.798","29.838"
"63","GTDPRO","Mirko Bortolotti","1","2:05.844","2:05.844","Green","Track","10.790","44.752","29.404"
"92","GTD","David Brule","1","2:06.990","2:06.990","Green","Track","10.744","45.730","29.814"
"80","GTD","PJ Hyett","1","2:07.363","2:07.363","Green","Track","10.794","45.596","29.802"
"01","GTP","Sebastien Bourdais","2","1:20.818","2:35.606","Yellow","Track","8.627","39.152","33.039"
"10","GTP","Louis Deletraz","2","1:19.763","2:36.273","Yellow","Track","8.767","38.605","32.391"
"60","GTP","Tom Blomqvist","2","1:20.743","2:37.511","Yellow","Track","8.732","39.173","32.838"
"24","GTP","Augusto Farfus","2","1:21.122","2:38.568","Yellow","Track","8.637","39.248","33.237"
"6","GTP","Nick Tandy","2","1:21.189","2:38.975","Yellow","Track","8.692","39.455","33.042"
