"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"31","GTP","Pipo Derani","1","1:38.123","1:38.123","Green","Track","24.840","45.326","27.956"
"7","GTP","Felipe Nasr","1","1:38.617","1:38.617","Green","Track","25.045","45.505","27.953"
"01","GTP","Sebastien Bourdais","1","1:39.242","1:39.242","Green","Track","25.056","45.609","28.167"
"25","GTP","Connor De Phillippi","1","1:39.993","1:39.993","Green","Track","25.359","46.023","28.061"
"10","GTP","Ricky Taylor","1","1:40.897","1:40.897","Green","Track","25.577","46.126","28.321"
"6","GTP","Nick Tandy","1","1:41.527","1:41.527","Green","Track","25.453","46.055","28.521"
"40","GTP","Louis Deletraz","1","1:41.853","1:41.853","Green","Track","25.785","46.457","28.339"
"24","GTP","Jesse Krohn","1","1:42.557","1:42.557","Green","Track","26.182","46.705","28.274"
"85","GTP","Richard Westbrook","1","1:43.128","1:43.128","Green","Track","26.392","46.763","28.367"
"5","GTP","Neel Jani","1","1:43.870","1:43.870","Green","Track","26.434","47.298","28.602"
"52","LMP2","Jakub Smiechowski","1","1:47.303","1:47.303","Green","Track","26.243","48.472","29.940"
"04","LMP2","George Kurtz","1","1:48.675","1:48.675","Green","Track","26.403","48.785","30.565"
"2","LMP2","Ben Keating","1","1:48.824","1:48.824","Green","Track","26.259","50.021","29.984"
"11","LMP2","Steven Thomas","1","1:49.854","1:49.854","Green","Track","26.604","49.202","30.548"
"22","LMP2","Daniel Goldburg","1","1:49.926","1:49.926","Green","Track","27.141","48.958","30.223"
"74","LMP2","Gar Robinson","1","1:50.013","1:50.013","Green","Track","26.578","49.263","31.080"
"99","LMP2","PJ Hyett","1","1:50.854","1:50.854","Green","Track","27.373","49.296","30.219"
"20","LMP2","Dennis Andersen","1","1:50.961","1:50.961","Green","Track","27.145","49.218","30.665"
"88","LMP2","Luis Perez Companc","1","1:51.550","1:51.550","Green","Track","27.282","49.479","30.489"
"81","LMP2","Eric Lux","1","1:51.972","1:51.972","Green","Track","27.388","49.415","30.518"
"18","LMP2","Dwight Merriman","1","1:52.552","1:52.552","Green","Track","27.850","49.410","30.458"
"8","LMP2","John Farano","1","1:54.779","1:54.779","Green","Track","28.831","49.820","30.887"
"33","LMP2","Lance Willsey","1","1:55.339","1:55.339","Green","Track","28.549","50.623","31.208"
"14","GTDPRO","Ben Barnicoat","1","2:13.532","2:13.532","Green","Track","26.406","50.618","31.925"
"77","GTDPRO","Michael Christensen","1","2:13.948","2:13.948","Green","Track","26.697","50.745","32.000"
"12","GTD","Aaron Telitz","1","2:14.482","2:14.482","Green","Track","27.227","50.454","32.140"
"66","GTD","Katherine Legge","1","2:15.051","2:15.051","Green","Track","26.895","50.990","32.097"
"86","GTD","Klaus Bachler","1","2:15.091","2:15.091","Green","Track","26.642","50.980","32.506"
"34","GTD","Manny Franco","1","2:15.201","2:15.201","Green","Track","27.095","50.762","31.857"
"62","GTDPRO","Daniel Serra","1","2:15.526","2:15.526","Green","Track","27.041","50.871","31.596"
"3","GTDPRO","Antonio Garcia","1","2:16.623","2:16.623","Green","Track","27.679","51.034","32.109"
"45","GTD","Kyle Marcelli","1","2:16.892","2:16.892","Green","Track","27.370","51.551","32.618"
"47","GTD","Giorgio Sernagiotto","1","2:17.076","2:17.076","Green","Track","27.957","50.921","32.344"
"023","GTD","Alessio Rovera","1","2:17.158","2:17.158","Green","Track","27.566","51.302","31.995"
"78","GTD","Misha Goikhberg","1","2:17.415","2:17.415","Green","Track","27.377","51.582","32.767"
"70","GTD","Frederik Schandorff","1","2:17.939","2:17.939","Green","Track","27.314","50.919","33.045"
"19","GTDPRO","Andrea Caldarelli","1","2:18.238","2:18.238","Green","Track","28.014","50.997","33.051"
"9","GTDPRO","Oliver Jarvis","1","2:18.515","2:18.515","Green","Track","27.873","51.562","32.680"
"17","GTD","Nico Varrone","1","2:18.808","2:18.808","Green","Track","27.630","51.323","33.142"
"21","GTD","Simon Mann","1","2:18.884","2:18.884","Green","Track","27.591","51.395","32.886"
"4","GTDPRO","Tommy Milner","1","2:19.080","2:19.080","Green","Track","27.537","51.685","32.578"
"83","GTD","Rahel Frey","1","2:19.500","2:19.500","Green","Track","27.719","51.570","32.767"
"75","GTDPRO","Maro Engel","1","2:20.054","2:20.054","Green","Track","28.079","51.206","32.801"
"43","GTD","Jarett Andretti","1","2:20.096","2:20.096","Green","Track","28.294","51.746","32.995"
"1","GTDPRO","Madison Snow","1","2:20.297","2:20.297","Green","Track","28.422","51.160","32.677"
"60","GTDPRO","Matteo Cressoni","1","2:20.408","2:20.408","Green","Track","27.791","51.995","32.875"
"65","GTDPRO","Joey Hand","1","2:20.473","2:20.473","Green","Track","28.123","52.014","32.641"
"23","GTDPRO","Mario Farnbacher","1","2:20.595","2:20.595","Green","Track","28.432","52.135","32.089"
"55","GTD","Corey Lewis","1","2:20.924","2:20.924","Green","Track","28.620","51.671","32.336"
"32","GTD","Mike Skeen","1","2:21.256","2:21.256","Green","Track","28.322","51.584","32.517"
"80","GTD","Adam Christodoulou","1","2:21.386","2:21.386","Green","Track","28.403","51.438","32.527"
"96","GTD","Patrick Gallagher","1","2:21.804","2:21.804","Green","Track","28.315","52.086","33.015"
"57","GTD","Russell Ward","1","2:22.219","2:22.219","Green","Track","28.732","51.693","33.025"
"64","GTDPRO","Mike Rockenfeller","1","2:22.925","2:22.925","Green","Track","28.569","52.223","33.552"
"27","GTD","Ian James","1","2:23.510","2:23.510","Green","Track","28.657","52.310","33.206"
"120","GTD","Adam Adelson","1","2:23.603","2:23.603","Green","Track","28.993","52.438","33.095"
"44","GTD","John Potter","1","2:24.457","2:24.457","Green","Track","29.111","52.835","33.224"
"92","GTD","David Brule","1","2:25.197","2:25.197","Green","Track","29.416","53.145","33.108"
"13","GTD","Orey Fidani","1","2:47.414","2:47.414","Green","Track","0.000","56.063","34.525"
"31","GTP","Pipo Derani","2","1:35.863","3:13.986","Green","Track","23.281","44.700","27.882"
"7","GTP","Felipe Nasr","2","1:36.661","3:15.278","Green","Track","23.685","45.119","27.857"
"01","GTP","Sebastien Bourdais","2","1:36.416","3:15.658","Green","Track","23.504","44.687","28.225"
"25","GTP","Connor De Phillippi","2","1:36.472","3:16.465","Green","Track","23.687","45.089","27.696"
"10","GTP","Ricky Taylor","2","1:36.896","3:17.793","Green","Track","23.473","45.250","28.173"
"6","GTP","Nick Tandy","2","1:36.673","3:18.200","Green","Track","23.682","44.808","28.183"
"40","GTP","Louis Deletraz","2","1:36.957","3:18.810","Green","Track","23.879","45.054","28.024"
"24","GTP","Jesse Krohn","2","1:36.685","3:19.242","Green","Track","23.729","44.949","28.007"
"85","GTP","Richard Westbrook","2","1:37.005","3:20.133","Green","Track","23.855","45.231","27.919"
"5","GTP","Neel Jani","2","1:37.056","3:20.926","Green","Track","23.616","45.176","28.264"
"52","LMP2","Jakub Smiechowski","2","1:41.943","3:29.246","Green","Track","24.357","47.862","29.724"
"04","LMP2","George Kurtz","2","1:42.087","3:30.762","Green","Track","24.263","47.770","30.054"
"2","LMP2","Ben Keating","2","1:42.616","3:31.440","Green","Track","24.598","47.963","30.055"
"11","LMP2","Steven Thomas","2","1:42.012","3:31.866","Green","Track","24.360","47.876","29.776"
"22","LMP2","Daniel Goldburg","2","1:43.391","3:33.317","Green","Track","24.942","48.187","30.262"
"74","LMP2","Gar Robinson","2","1:43.996","3:34.009","Green","Track","25.267","48.346","30.383"
