"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"31","GTP","Pipo Derani","1","1:53.496","1:53.496","Green","Track","11.224","71.142","31.129"
"01","GTP","Sebastien Bourdais","1","1:54.401","1:54.401","Green","Track","11.263","71.696","31.003"
"7","GTP","Felipe Nasr","1","1:54.905","1:54.905","Green","Track","11.564","71.555","31.109"
"40","GTP","Louis Deletraz","1","1:55.717","1:55.717","Green","Track","11.565","72.259","31.275"
"85","GTP","Phil Hanson","1","1:56.187","1:56.187","Green","Track","11.386","72.172","31.272"
"24","GTP","Philipp Eng","1","1:56.730","1:56.730","Green","Track","11.818","72.853","31.224"
"5","GTP","Julien Andlauer","1","1:56.933","1:56.933","Green","Track","11.369","72.841","31.040"
"25","GTP","Connor De Phillippi","1","1:57.527","1:57.527","Green","Track","11.369","73.420","31.018"
"10","GTP","Ricky Taylor","1","1:58.045","1:58.045","Green","Track","11.392","73.584","31.096"
"6","GTP","Mathieu Jaminet","1","1:58.707","1:58.707","Green","Track","11.443","73.771","31.205"
"63","GTP","Matteo Cairoli","1","1:59.351","1:59.351","Green","Track","11.690","74.179","31.317"
"22","LMP2","Daniel Goldburg","1","2:02.925","2:02.925","Green","Track","11.650","76.076","32.539"
"2","LMP2","Ben Keating","1","2:03.169","2:03.169","Green","Track","11.689","75.936","32.412"
"52","LMP2","Nick Boulle","1","2:03.554","2:03.554","Green","Track","11.741","76.205","32.456"
"04","LMP2","George Kurtz","1","2:05.122","2:05.122","Green","Track","11.613","77.005","32.893"
"88","LMP2","Luis Perez Companc","1","2:05.487","2:05.487","Green","Track","11.588","77.106","32.838"
"74","LMP2","Gar Robinson","1","2:06.238","2:06.238","Green","Track","11.793","77.303","33.248"
"11","LMP2","Steven Thomas","1","2:06.675","2:06.675","Green","Track","11.890","77.976","32.756"
"18","LMP2","Dwight Merriman","1","2:07.636","2:07.636","Green","Track","11.733","78.749","32.968"
"99","LMP2","PJ Hyett","1","2:07.976","2:07.976","Green","Track","12.065","78.190","32.886"
"20","LMP2","Dennis Andersen","1","2:08.798","2:08.798","Green","Track","12.107","78.818","33.284"
"81","LMP2","Henrik Hedman","1","2:09.613","2:09.613","Green","Track","12.263","79.579","33.448"
"8","LMP2","John Farano","1","2:10.118","2:10.118","Green","Track","12.279","79.219","33.344"
"33","LMP2","Lance Willsey","1","2:11.191","2:11.191","Green","Track","12.368","79.779","33.687"
"14","GTDPRO","Jack Hawksworth","1","2:25.759","2:25.759","Green","Track","12.392","76.551","34.308"
"12","GTD","Parker Thompson","1","2:26.529","2:26.529","Green","Track","12.585","76.836","34.357"
"32","GTD","Mikael Grenier","1","2:26.964","2:26.964","Green","Track","12.659","77.002","34.390"
"47","GTD","Antonio Fuoco","1","2:27.668","2:27.668","Green","Track","12.893","77.313","34.681"
"23","GTDPRO","Mario Farnbacher","1","2:27.937","2:27.937","Green","Track","12.785","77.606","34.445"
"1","GTDPRO","Madison Snow","1","2:28.127","2:28.127","Green","Track","12.810","77.680","34.332"
"19","GTDPRO","Franck Perera","1","2:29.089","2:29.089","Green","Track","12.681","78.683","34.506"
"77","GTDPRO","Seb Priaulx","1","2:29.414","2:29.414","Green","Track","13.003","78.648","34.541"
"78","GTD","Loris Spinelli","1","2:30.004","2:30.004","Green","Track","12.857","78.810","34.785"
"80","GTD","Scott Andrews","1","2:30.290","2:30.290","Green","Track","13.108","78.926","34.660"
"64","GTDPRO","Mike Rockenfeller","1","2:30.882","2:30.882","Green","Track","12.754","79.650","34.767"
"45","GTD","Kyle Marcelli","1","2:31.988","2:31.988","Green","Track","12.793","79.892","34.745"
"21","GTD","Simon Mann","1","2:32.110","2:32.110","Green","Track","13.155","80.435","34.523"
"55","GTD","Giammarco Levorato","1","2:32.753","2:32.753","Green","Track","12.964","80.530","34.565"
