"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"6","GTP","Nick Tandy","1","1:41.529","1:41.529","Yellow","Track","23.679","37.678","40.171"
"31","GTP","Pipo Derani","1","1:42.668","1:42.668","Yellow","Track","24.053","38.092","40.265"
"01","GTP","Sebastien Bourdais","1","1:43.922","1:43.922","Yellow","Track","24.004","38.144","41.195"
"25","GTP","Connor De Phillippi","1","1:44.512","1:44.512","Yellow","Track","24.568","38.414","40.952"
"10","GTP","Louis Deletraz","1","1:45.458","1:45.458","Yellow","Track","25.202","39.221","40.596"
"7","GTP","Matt Campbell","1","1:47.094","1:47.094","Yellow","Track","24.996","39.246","41.883"
"60","GTP","Colin Braun","1","1:48.567","1:48.567","Yellow","Track","24.891","39.382","42.957"
"5","GTP","Mike Rockenfeller","1","1:50.261","1:50.261","Yellow","Track","25.730","39.392","43.675"
"52","LMP2","Ben Keating","1","1:51.781","1:51.781","Yellow","Track","25.668","39.424","44.548"
"8","LMP2","Salih Yoluc","1","1:52.390","1:52.390","Yellow","Track","26.122","39.465","44.623"
"04","LMP2","George Kurtz","1","1:53.523","1:53.523","Yellow","Track","26.012","39.972","45.092"
"11","LMP2","Steven Thomas","1","1:55.510","1:55.510","Yellow","Track","26.639","40.351","46.656"
"18","LMP2","Dwight Merriman","1","1:57.200","1:57.200","Yellow","Track","26.093","40.965","47.580"
"35","LMP2","John Falb","1","1:57.851","1:57.851","Yellow","Track","26.074","41.003","47.806"
"51","LMP2","Eric Lux","1","1:59.132","1:59.132","Yellow","Track","26.165","40.749","48.897"
"88","LMP2","Luis Perez Companc","1","2:00.373","2:00.373","Yellow","Track","27.025","42.375","47.447"
"4","LMP3","Tonis Kasemets","1","2:01.283","2:01.283","Yellow","Track","27.355","41.900","48.122"
"20","LMP2","Mark Kvamme","1","2:02.181","2:02.181","Yellow","Track","27.408","42.333","49.380"
"13","LMP3","Orey Fidani","1","2:03.049","2:03.049","Yellow","Track","26.983","43.003","49.274"
"74","LMP3","Gar Robinson","1","2:04.332","2:04.332","Yellow","Track","27.276","43.050","50.366"
"36","LMP3","Glenn van Berlo","1","2:05.597","2:05.597","Yellow","Track","27.077","42.578","51.456"
"30","LMP3","Dylan Murry","1","2:06.094","2:06.094","Yellow","Track","26.911","42.824","51.782"
"85","LMP3","Till Bechtolsheimer","1","2:07.180","2:07.180","Yellow","Track","27.350","43.222","52.592"
"33","LMP3","Lance Willsey","1","2:08.209","2:08.209","Yellow","Track","27.492","43.462","52.913"
"38","LMP3","Christopher Allen","1","2:09.301","2:09.301","Yellow","Track","27.186","43.904","53.746"
"54","LMP3","Jason Rabe","1","2:11.419","2:11.419","Yellow","Track","27.678","43.440","55.440"
"17","LMP3","Anthony Mantella","1","2:12.315","2:12.315","Yellow","Track","27.278","46.008","54.957"
"78","GTD","Loris Spinelli","1","3:11.737","3:11.737","Yellow","Track","25.852","52.328","62.809"
"63","GTDPRO","Jordan Pepper","1","3:13.313","3:13.313","Yellow","Track","26.085","52.640","63.559"
"62","GTDPRO","Daniel Serra","1","3:14.198","3:14.198","Yellow","Track","26.231","53.184","63.733"
"12","GTD","Aaron Telitz","1","3:16.022","3:16.022","Yellow","Track","26.339","54.420","64.061"
"14","GTDPRO","Jack Hawksworth","1","3:17.239","3:17.239","Yellow","Track","26.591","54.685","64.654"
"79","GTDPRO","Jules Gounon","1","3:17.930","3:17.930","Yellow","Track","26.444","55.819","63.917"
"83","GTD","Doriane Pin","1","3:19.192","3:19.192","Yellow","Track","27.113","55.949","64.598"
"1","GTD","Madison Snow","1","3:20.709","3:20.709","Yellow","Track","27.051","56.619","65.326"
"3","GTDPRO","Jordan Taylor","1","3:22.265","3:22.265","Yellow","Track","26.977","57.206","66.206"
"95","GTDPRO","Bill Auberlen","1","3:23.438","3:23.438","Yellow","Track","26.732","57.907","66.562"
"9","GTDPRO","Patrick Pilet","1","3:24.751","3:24.751","Yellow","Track","26.914","58.908","66.643"
"42","GTD","Jaden Conwright","1","3:25.530","3:25.530","Yellow","Track","26.888","59.621","66.498"
"70","GTD","Brendan Iribe","1","3:26.270","3:26.270","Yellow","Track","26.661","60.370","66.294"
"32","GTD","Mike Skeen","1","3:27.949","3:27.949","Yellow","Track","27.159","60.495","67.139"
"27","GTD","Ian James","1","3:29.663","3:29.663","Yellow","Track","27.562","61.429","67.909"
"96","GTD","Patrick Gallagher","1","3:31.094","3:31.094","Yellow","Track","27.137","62.051","68.655"
"91","GTD","Alan Metni","1","3:31.613","3:31.613","Yellow","Track","27.346","62.384","68.466"
