"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"10","DPi","Filipe Albuquerque","1","1:34.855","1:34.855","Green","Track","22.834","35.836","36.077"
"60","DPi","Tom Blomqvist","1","1:35.615","1:35.615","Green","Track","22.917","36.304","36.393"
"01","DPi","Sebastien Bourdais","1","1:36.351","1:36.351","Green","Track","23.551","35.678","36.866"
"02","DPi","Earl Bamber","1","1:36.944","1:36.944","Green","Track","23.658","36.234","36.712"
"5","DPi","Tristan Vautier","1","1:37.697","1:37.697","Green","Track","23.725","36.522","36.903"
"31","DPi","Olivier Pla","1","1:37.982","1:37.982","Green","Track","23.728","36.730","36.925"
"48","DPi","Kamui Kobayashi","1","1:39.001","1:39.001","Green","Track","23.626","37.408","37.158"
"11","LMP2","Steven Thomas","1","1:40.975","1:40.975","Green","Track","24.286","37.848","37.673"
"52","LMP2","Ben Keating","1","1:41.770","1:41.770","Green","Track","24.138","38.454","38.124"
"20","LMP2","Dennis Andersen","1","1:43.253","1:43.253","Green","Track","24.557","38.848","38.599"
"29","LMP2","Frits Van Eerd","1","1:44.288","1:44.288","Green","Track","25.255","38.791","38.790"
"8","LMP2","John Farano","1","1:46.684","1:46.684","Green","Track","26.006","40.012","39.028"
"81","LMP2","Henrik Hedman","1","1:47.904","1:47.904","Green","Track","25.999","40.184","39.887"
"18","LMP2","Dwight Merriman","1","1:48.512","1:48.512","Green","Track","26.126","40.993","39.583"
"40","LMP3","Nico Varrone","1","1:49.914","1:49.914","Green","Track","26.146","40.880","40.663"
"58","LMP3","Josh Sarchet","1","1:50.604","1:50.604","Green","Track","26.226","41.110","40.857"
"38","LMP3","Dan Goldburg","1","1:51.223","1:51.223","Green","Track","26.283","41.411","40.990"
"54","LMP3","Jon Bennett","1","1:51.980","1:51.980","Green","Track","26.938","41.256","41.249"
"74","LMP3","Gar Robinson","1","1:52.240","1:52.240","Green","Track","26.750","41.301","41.313"
"7","LMP3","Anthony Mantella","1","1:52.868","1:52.868","Green","Track","27.149","41.448","41.421"
"30","LMP3","Ari Balogh","1","1:53.677","1:53.677","Green","Track","27.135","41.547","41.926"
"13","LMP3","Orey Fidani","1","1:54.207","1:54.207","Green","Track","27.273","41.619","42.157"
"6","LMP3","Dillon Machavern","1","1:55.313","1:55.313","Green","Track","27.398","42.284","42.221"
"33","LMP3","Lance Willsey","1","1:55.425","1:55.425","Green","Track","27.297","42.681","41.847"
"36","LMP3","Jarett Andretti","1","2:07.634","2:07.634","Green","Pit","27.251","41.745","55.245"
"25","GTDPRO","Connor De Phillippi","1","2:46.616","2:46.616","Green","Track","26.430","40.940","41.677"
"23","GTDPRO","Ross Gunn","1","2:47.330","2:47.330","Green","Track","26.457","41.451","41.780"
